id;view;wing;side;A_wing
EL72609;D;Ant;g;905363.0
EL72458;V;Ant;d;904933.5
ACC0040;D;Post;g;904047.5
EL43192;D;Ant;d;903733.0
EL75706;V;Ant;d;903631.0
EL75685;V;Ant;d;902833.0
EL72415;V;Post;d;902638.0
EL72601;D;Ant;d;901878.0
EL72704;D;Post;d;901480.5
EL72704;V;Ant;d;901008.5
EL75580;D;Post;g;900688.5
EL75663;D;Ant;d;900447.0
EL72478;V;Ant;d;900200.0
EL72565;V;Ant;d;900041.5
EL75594;V;Ant;g;899848.0
ACC0012;V;Post;d;899582.5
EL75321;D;Ant;g;899520.5
ACC0040;V;Post;g;898454.0
EL72427;V;Ant;g;898450.0
EL72743;D;Ant;d;895987.0
ACC0013;D;Post;g;895703.5
EL75541;V;Post;d;895559.0
EL72594;D;Ant;d;895220.5
EL75541;D;Post;d;895154.0
ACC0014;V;Post;d;895081.0
EL72621;V;Post;d;894261.0
EL43194;V;Ant;d;893697.5
EL72423;V;Ant;d;893674.0
EL72591;D;Ant;d;893148.0
EL75537;D;Post;g;892311.5
EL72464;V;Ant;d;892078.0
EL72620;V;Ant;d;891868.0
EL75513;V;Ant;d;891734.0
EL72621;D;Post;d;891673.5
EL72444;V;Ant;g;891454.0
EL75511;D;Ant;g;890661.5
EL72654;D;Ant;d;889731.5
EL72563;V;Ant;d;889471.5
EL72569;V;Ant;d;889124.0
EL72600;V;Ant;d;886643.5
EL75581;V;Ant;d;886419.5
EL75537;V;Post;g;885813.5
EL75684;D;Ant;d;885690.0
EL72605;D;Post;d;885258.0
EL43193;V;Ant;g;885175.0
ACC0015;V;Ant;g;884579.0
ACC0065;D;Post;g;884197.5
EL72610;D;Post;g;883455.5
EL72744;V;Ant;g;883236.0
EL72412;D;Ant;d;883197.0
ACC0053;D;Post;g;883125.0
EL72605;V;Post;d;882842.0
EL75708;V;Ant;d;882494.5
ACC0065;V;Post;g;882023.5
ACC0075;V;Ant;g;881403.5
EL72603;D;Ant;g;881222.5
EL72610;V;Post;g;880955.5
EL75580;V;Post;g;880908.0
EL75536;V;Post;g;880551.5
EL43219;V;Ant;d;880111.0
ACC0013;V;Post;g;879213.0
ACC0024;V;Ant;g;879036.5
EL75549;D;Post;g;877821.5
EL72435;V;Ant;g;876978.5
EL72701;D;Ant;g;876602.0
EL72674;D;Ant;d;876387.5
EL75536;D;Post;g;876235.0
ACC0058;D;Post;d;875631.0
EL72677;D;Ant;g;874788.5
EL75549;V;Post;g;874785.5
ACC0053;V;Post;g;874546.0
EL72478;V;Post;d;873717.5
EL75521;D;Ant;g;872900.0
ACC0058;V;Post;d;872382.5
EL72608;V;Ant;g;872275.0
EL72478;D;Post;d;871763.0
EL75308;D;Ant;d;870842.0
EL43218;D;Post;g;870692.5
EL75507;V;Ant;d;870067.0
EL75530;V;Post;g;869366.5
EL72522;D;Ant;d;869318.0
EL75685;V;Post;d;869276.5
EL43131;V;Ant;g;869028.0
EL72667;V;Ant;d;867682.5
ACC0400;D;Ant;d;867574.5
EL75595;V;Ant;d;867379.0
EL75563;V;Ant;d;866317.5
EL72487;V;Post;g;866229.5
EL72568;V;Ant;d;866221.5
EL43187;D;Ant;g;866100.0
EL72518;D;Ant;g;865772.0
EL43129;D;Ant;g;865487.0
