 ;Label;lumMean;lumSD;area;maxPower;maxFreq;propPower;sumPower;meanPower;powerSD;Mean;SD;File
1; _1814-2138;0.107;1.092;319462.0;11.41;181.019;0.096;118.913;6.995;2.709;0.107;1.092;ACC0267V
1; _1609-2317;82.084;69.006;1350657.0;11.796;22.627;0.083;141.303;8.312;3.007;82.084;69.006;ACC0268D
1; _1555-2338;115.294;62.64;1344923.0;11.485;22.627;0.095;121.07;7.122;2.892;115.294;62.64;ACC0268V
1; _1517-2567;78.723;63.326;1400634.0;11.721;64.0;0.086;135.871;7.992;2.827;78.723;63.326;ACC0269D
1; _1522-2434;113.603;58.507;1377143.0;10.056;22.627;0.086;117.36;6.904;2.633;113.603;58.507;ACC0269V
1; _1454-2264;89.426;67.5;1221005.0;11.135;64.0;0.081;136.634;8.037;2.712;89.426;67.5;ACC0270D
1; _1582-2336;116.993;59.32;1210708.0;10.636;22.627;0.091;117.164;6.892;2.623;116.993;59.32;ACC0270V
1; _1534-2371;100.944;65.965;1367049.0;11.412;90.51;0.088;130.132;7.655;2.752;100.944;65.965;ACC0271D
1; _1580-2379;136.42;56.647;1376045.0;9.663;22.627;0.091;106.711;6.277;2.467;136.42;56.647;ACC0271V
1; _1528-2638;136.938;51.57;1009236.0;9.154;32.0;0.094;96.959;5.703;2.207;136.938;51.57;ACC0273D
1; _1490-2427;127.013;50.973;971212.0;9.035;22.627;0.09;100.897;5.935;2.035;127.013;50.973;ACC0273V
1; _1351-2463;110.695;68.095;1250864.0;11.756;32.0;0.094;125.384;7.376;2.657;110.695;68.095;ACC0274D
1; _1502-2612;130.682;60.783;1236002.0;10.231;32.0;0.093;110.61;6.506;2.361;130.682;60.783;ACC0274V
1; _1388-2596;118.869;63.329;918961.0;11.302;22.627;0.096;118.179;6.952;2.797;118.869;63.329;ACC0275D
1; _1710-2645;136.448;54.49;945824.0;9.756;22.627;0.096;101.853;5.991;2.367;136.448;54.49;ACC0275V
1; _1450-2599;86.413;63.301;1411727.0;11.772;32.0;0.09;130.99;7.705;2.661;86.413;63.301;ACC0276D
1; _1543-2407;113.767;60.833;1401699.0;10.747;32.0;0.091;118.115;6.948;2.465;113.767;60.833;ACC0276V
1; _1276-2612;91.028;64.811;1515515.0;11.832;32.0;0.09;131.238;7.72;2.666;91.028;64.811;ACC0277D
1; _1454-2655;113.289;63.294;1540850.0;11.302;32.0;0.094;120.358;7.08;2.572;113.289;63.294;ACC0277V
1; _1060-2415;102.896;64.521;1339259.0;11.408;32.0;0.09;126.894;7.464;2.684;102.896;64.521;ACC0278D
1; _1178-2665;121.004;60.691;1328545.0;10.781;32.0;0.093;115.495;6.794;2.494;121.004;60.691;ACC0278V
1; _1587-2395;97.699;62.998;1393900.0;11.413;32.0;0.09;126.469;7.439;2.646;97.699;62.998;ACC0279D
1; _1847-2386;120.996;61.5;1402016.0;10.831;32.0;0.094;115.74;6.808;2.503;120.996;61.5;ACC0279V
1; _1469-2378;182.372;41.906;1229487.0;6.454;32.0;0.089;72.459;4.262;1.554;182.372;41.906;ACC0280D
1; _1596-2452;185.407;35.276;1214752.0;5.434;32.0;0.088;62.07;3.651;1.169;185.407;35.276;ACC0280V
1; _1654-2447;181.976;43.543;1171983.0;6.519;32.0;0.09;72.598;4.27;1.632;181.976;43.543;ACC0281D
1; _1919-2532;183.164;42.127;1181436.0;5.892;22.627;0.085;69.691;4.099;1.26;183.164;42.127;ACC0281V
1; _1494-2209;173.123;42.724;1134249.0;6.695;22.627;0.087;76.827;4.519;1.527;173.123;42.724;ACC0282D
1; _1803-2408;174.615;40.4;1137453.0;6.279;22.627;0.087;71.953;4.233;1.34;174.615;40.4;ACC0282V
1; _1375-2269;177.11;42.005;1238870.0;6.908;32.0;0.092;75.251;4.427;1.662;177.11;42.005;ACC0283D
1; _1707-2511;176.044;41.215;1262913.0;6.323;32.0;0.087;72.823;4.284;1.347;176.044;41.215;ACC0283V
1; _1482-2680;176.921;49.497;1560711.0;7.495;32.0;0.094;79.84;4.696;1.612;176.921;49.497;ACC0284D
1; _1598-2739;183.383;38.71;1593485.0;5.634;32.0;0.084;66.701;3.924;1.06;183.383;38.71;ACC0284V
1; _1446-2763;181.378;48.195;1559041.0;7.048;32.0;0.092;76.426;4.496;1.492;181.378;48.195;ACC0285D
1; _1381-2834;186.406;38.551;1587646.0;5.455;32.0;0.084;65.107;3.83;1.029;186.406;38.551;ACC0285V
1; _1327-2693;179.968;45.266;1611827.0;6.654;32.0;0.09;73.624;4.331;1.318;179.968;45.266;ACC0286D
1; _1419-2727;184.191;38.341;1590575.0;5.299;32.0;0.082;64.675;3.804;0.913;184.191;38.341;ACC0286V
1; _1681-2759;181.805;41.204;1346276.0;5.745;32.0;0.086;66.529;3.913;1.022;181.805;41.204;ACC0287D
1; _1447-2809;182.387;33.539;1355382.0;4.707;32.0;0.081;58.199;3.423;0.727;182.387;33.539;ACC0287V
1; _1335-2978;187.978;36.426;1869502.0;5.184;32.0;0.086;60.214;3.542;0.911;187.978;36.426;ACC0288D
1; _1500-2915;192.785;27.255;1865925.0;3.888;32.0;0.078;49.654;2.921;0.576;192.785;27.255;ACC0288V
1; _1432-2908;185.965;32.713;1726977.0;4.699;32.0;0.083;56.385;3.317;0.764;185.965;32.713;ACC0289D
1; _1663-2899;190.978;24.611;1721763.0;3.489;32.0;0.074;46.996;2.764;0.428;190.978;24.611;ACC0289V
1; _1334-2955;182.597;39.327;1623220.0;5.862;32.0;0.089;65.589;3.858;1.118;182.597;39.327;ACC0290D
1; _1473-2844;188.823;30.286;1605284.0;4.355;45.255;0.082;53.084;3.123;0.697;188.823;30.286;ACC0290V
1; _1435-2995;183.726;35.884;1760440.0;4.98;32.0;0.081;61.371;3.61;0.788;183.726;35.884;ACC0291D
1; _1694-2859;190.816;27.037;1771020.0;3.826;32.0;0.076;50.6;2.976;0.508;190.816;27.037;ACC0291V
1; _1584-2687;195.986;37.634;1403469.0;4.971;32.0;0.084;59.285;3.487;0.982;195.986;37.634;ACC0292D
1; _1676-2675;197.609;32.65;1411337.0;3.983;2.828;0.074;53.665;3.157;0.755;197.609;32.65;ACC0292V
1; _1322-2681;190.416;41.546;1279833.0;5.716;45.255;0.087;65.492;3.852;1.032;190.416;41.546;ACC0293D
1; _1415-2806;194.297;33.047;1275878.0;4.257;45.255;0.077;55.615;3.271;0.749;194.297;33.047;ACC0293V
1; _1438-2734;191.377;39.66;1450245.0;5.186;32.0;0.082;63.284;3.723;0.958;191.377;39.66;ACC0294D
1; _1607-2837;196.124;31.582;1442410.0;3.935;45.255;0.074;53.352;3.138;0.653;196.124;31.582;ACC0294V
1; _1618-2644;194.448;38.516;1329998.0;4.752;32.0;0.079;60.323;3.548;0.947;194.448;38.516;ACC0295D
1; _1622-2791;196.934;33.164;1341629.0;3.974;2.828;0.073;54.603;3.212;0.727;196.934;33.164;ACC0295V
1; _1189-2810;157.857;52.962;1175588.0;6.922;45.255;0.079;88.153;5.185;1.12;157.857;52.962;ACC0296D
1; _1516-2779;164.866;46.163;1195411.0;5.977;45.255;0.075;79.701;4.688;1.008;164.866;46.163;ACC0296V
1; _1503-2497;163.687;53.238;1176880.0;7.0;45.255;0.081;86.758;5.103;1.248;163.687;53.238;ACC0297D
1; _1677-2484;170.433;46.924;1196192.0;5.807;32.0;0.074;78.926;4.643;1.009;170.433;46.924;ACC0297V
1; _1457-2291;163.477;50.16;1153071.0;6.626;45.255;0.079;83.975;4.94;1.148;163.477;50.16;ACC0298D
1; _1899-2456;173.636;44.08;1150498.0;5.435;45.255;0.073;74.415;4.377;0.962;173.636;44.08;ACC0298V
1; _1660-2352;163.728;51.976;1217216.0;6.901;45.255;0.079;86.871;5.11;1.25;163.728;51.976;ACC0299D
1; _1500-2606;171.915;45.82;1233303.0;5.692;16.0;0.074;77.178;4.54;1.053;171.915;45.82;ACC0299V
1; _1580-2425;178.053;53.667;1477690.0;6.879;64.0;0.081;85.372;5.022;1.27;178.053;53.667;ACC0300D
1; _1844-2517;184.013;45.445;1482031.0;5.496;45.255;0.073;74.86;4.404;1.068;184.013;45.445;ACC0300V
1; _1520-2479;181.318;52.103;1737234.0;6.874;64.0;0.083;82.727;4.866;1.193;181.318;52.103;ACC0301D
1; _1647-2580;185.886;42.316;1717121.0;5.028;45.255;0.071;70.504;4.147;0.919;185.886;42.316;ACC0301V
1; _1637-2466;169.245;48.007;1365498.0;6.195;45.255;0.077;80.3;4.724;1.007;169.245;48.007;ACC0302D
1; _1496-2412;176.007;40.696;1389629.0;5.256;22.627;0.076;69.575;4.093;0.922;176.007;40.696;ACC0302V
1; _1560-2563;174.571;48.976;1232423.0;6.052;64.0;0.077;78.543;4.62;0.976;174.571;48.976;ACC0303D
1; _1713-2591;182.412;41.084;1243645.0;4.879;16.0;0.071;68.381;4.022;0.82;182.412;41.084;ACC0303V
1; _1556-2513;183.612;50.233;1543775.0;6.385;45.255;0.081;78.713;4.63;1.129;183.612;50.233;ACC0304D
1; _1718-2599;188.43;40.466;1560971.0;4.962;32.0;0.075;66.146;3.891;0.959;188.43;40.466;ACC0304V
1; _1490-2604;183.03;48.686;1608443.0;5.89;45.255;0.077;76.395;4.494;0.947;183.03;48.686;ACC0305D
1; _1417-2432;187.72;39.213;1612084.0;4.638;45.255;0.072;64.594;3.8;0.807;187.72;39.213;ACC0305V
1; _1777-2346;185.289;43.201;1440710.0;5.687;45.255;0.082;69.627;4.096;1.085;185.289;43.201;ACC0306D
1; _1697-2512;189.325;37.415;1434482.0;4.661;32.0;0.075;61.793;3.635;0.962;189.325;37.415;ACC0306V
1; _1448-2569;183.774;45.051;1458544.0;5.893;45.255;0.081;72.773;4.281;1.01;183.774;45.051;ACC0307D
1; _1798-2845;189.506;38.227;1475839.0;4.703;45.255;0.074;63.549;3.738;0.858;189.506;38.227;ACC0307V
1; _1508-2549;197.224;36.809;1171230.0;4.535;16.0;0.078;58.011;3.412;1.162;197.224;36.809;ACC0308D
1; _1585-2613;198.263;33.681;1204336.0;4.218;4.0;0.077;54.56;3.209;0.998;198.263;33.681;ACC0308V
1; _1621-2594;192.282;38.881;1212899.0;4.961;32.0;0.079;62.656;3.686;1.052;192.282;38.881;ACC0309D
1; _1652-2728;194.801;32.674;1209921.0;4.031;32.0;0.074;54.703;3.218;0.807;194.801;32.674;ACC0309V
1; _1688-2565;186.441;41.861;1584017.0;6.592;45.255;0.099;66.277;3.899;1.431;186.441;41.861;ACC0310D
1; _1749-2928;187.631;32.802;1576680.0;5.317;45.255;0.093;56.941;3.349;1.067;187.631;32.802;ACC0310V
1; _1620-2809;181.708;40.904;1547888.0;6.299;45.255;0.094;66.913;3.936;1.307;181.708;40.904;ACC0311D
1; _1846-2801;188.014;33.916;1564693.0;5.341;45.255;0.092;57.932;3.408;1.073;188.014;33.916;ACC0311V
1; _1566-2816;176.066;50.634;1605019.0;7.729;45.255;0.097;79.691;4.688;1.585;176.066;50.634;ACC0312D
1; _1796-2824;185.503;35.661;1590148.0;5.666;45.255;0.092;61.55;3.621;1.054;185.503;35.661;ACC0312V
1; _1593-2730;182.423;46.378;1685854.0;6.887;45.255;0.096;71.707;4.218;1.448;182.423;46.378;ACC0313D
1; _1724-2828;189.766;34.575;1639598.0;5.345;45.255;0.094;57.104;3.359;1.062;189.766;34.575;ACC0313V
1; _1543-2616;153.915;56.951;1039236.0;7.849;32.0;0.084;93.291;5.488;1.628;153.915;56.951;ACC0314D
1; _1730-2429;166.084;47.541;1046619.0;6.539;16.0;0.081;81.218;4.778;1.344;166.084;47.541;ACC0314V
1; _1387-2545;153.405;60.054;1427514.0;8.71;32.0;0.088;99.186;5.834;1.768;153.405;60.054;ACC0315D
1; _1522-2795;164.457;52.135;1443267.0;7.125;16.0;0.081;88.196;5.188;1.292;164.457;52.135;ACC0315V
1; _1605-2577;151.224;57.058;1165757.0;8.448;32.0;0.087;97.421;5.731;1.744;151.224;57.058;ACC0316D
1; _1688-2574;163.92;49.666;1158294.0;7.275;16.0;0.086;84.541;4.973;1.455;163.92;49.666;ACC0316V
1; _1571-2652;160.938;52.987;1251164.0;7.124;22.627;0.081;87.918;5.172;1.335;160.938;52.987;ACC0317D
1; _1668-2552;171.779;44.65;1260268.0;6.299;16.0;0.083;76.252;4.485;1.121;171.779;44.65;ACC0317V
1; _1820-2646;178.221;49.891;1461724.0;7.147;64.0;0.089;80.65;4.744;1.798;178.221;49.891;ACC0318D
1; _1753-2635;184.104;40.519;1473182.0;5.885;22.627;0.087;67.847;3.991;1.4;184.104;40.519;ACC0318V
1; _1540-2584;178.114;47.709;1692357.0;6.685;32.0;0.084;79.661;4.686;1.636;178.114;47.709;ACC0319D
1; _1553-2836;184.069;39.905;1687444.0;5.953;22.627;0.087;68.339;4.02;1.315;184.069;39.905;ACC0319V
1; _1583-2615;162.993;47.759;1633015.0;6.784;32.0;0.082;82.697;4.865;1.163;162.993;47.759;ACC0320D
1; _1751-2664;175.554;38.303;1645759.0;5.663;32.0;0.084;67.45;3.968;1.03;175.554;38.303;ACC0320V
1; _1449-2579;167.37;47.421;1656024.0;6.437;45.255;0.08;80.295;4.723;1.052;167.37;47.421;ACC0321D
1; _1648-2630;178.239;37.555;1632195.0;5.358;32.0;0.082;65.244;3.838;0.944;178.239;37.555;ACC0321V
1; _1415-2686;182.64;46.753;1342746.0;7.527;32.0;0.098;76.495;4.5;1.986;182.64;46.753;ACC0322D
1; _1215-2622;187.128;38.759;1350120.0;6.211;22.627;0.094;66.08;3.887;1.562;187.128;38.759;ACC0322V
1; _1562-2747;166.248;53.109;1995125.0;8.269;32.0;0.094;88.239;5.191;1.92;166.248;53.109;ACC0323D
1; _1597-2874;173.95;45.211;2004331.0;7.208;32.0;0.094;76.704;4.512;1.52;173.95;45.211;ACC0323V
1; _1451-2862;170.143;52.571;1925598.0;7.842;32.0;0.091;86.53;5.09;1.757;170.143;52.571;ACC0324D
1; _1640-2901;177.235;44.547;1938698.0;6.657;32.0;0.088;75.403;4.435;1.34;177.235;44.547;ACC0324V
1; _1461-2921;168.707;44.99;2283255.0;6.601;32.0;0.086;76.902;4.524;1.234;168.707;44.99;ACC0325D
1; _1469-2849;175.32;41.027;2262422.0;6.1;32.0;0.085;71.863;4.227;1.125;175.32;41.027;ACC0325V
1; _1434-2793;175.73;47.17;2447933.0;6.761;32.0;0.089;76.263;4.486;1.414;175.73;47.17;ACC0326D
1; _1496-2951;180.51;41.159;2423380.0;6.062;32.0;0.087;69.635;4.096;1.154;180.51;41.159;ACC0326V
1; _1673-2684;185.641;46.933;1374453.0;7.163;32.0;0.096;74.819;4.401;1.656;185.641;46.933;ACC0327D
1; _1668-2704;185.933;36.698;1411660.0;5.713;32.0;0.09;63.218;3.719;1.196;185.933;36.698;ACC0327V
1; _1403-2559;180.848;45.522;1469099.0;6.796;32.0;0.092;73.945;4.35;1.471;180.848;45.522;ACC0328D
1; _1632-2786;186.021;37.261;1485283.0;5.425;32.0;0.087;62.454;3.674;1.034;186.021;37.261;ACC0328V
1; _1527-2629;180.857;43.8;1392958.0;6.524;32.0;0.092;70.951;4.174;1.371;180.857;43.8;ACC0329D
1; _1596-2614;185.09;35.644;1423732.0;5.375;32.0;0.088;61.055;3.591;1.054;185.09;35.644;ACC0329V
1; _1574-2729;171.5;47.683;1752691.0;7.253;32.0;0.092;78.579;4.622;1.499;171.5;47.683;ACC0330D
1; _1615-2752;183.154;37.508;1799346.0;5.718;32.0;0.089;64.081;3.769;1.133;183.154;37.508;ACC0330V
1; _1356-2846;147.06;59.854;2006358.0;8.488;32.0;0.085;100.368;5.904;1.37;147.06;59.854;ACC0331D
1; _1552-2930;163.112;44.747;1979613.0;6.365;32.0;0.08;79.145;4.656;0.98;163.112;44.747;ACC0331V
1; _1411-2793;160.915;55.914;1925687.0;7.816;32.0;0.086;90.568;5.328;1.369;160.915;55.914;ACC0332D
1; _1566-2952;172.463;41.224;1903944.0;5.751;32.0;0.081;70.982;4.175;0.896;172.463;41.224;ACC0332V
1; _1482-2843;161.728;54.422;1943000.0;7.543;32.0;0.084;89.622;5.272;1.358;161.728;54.422;ACC0333D
1; _1453-2819;172.906;42.023;1890130.0;5.719;22.627;0.079;72.075;4.24;0.917;172.906;42.023;ACC0333V
1; _1322-2968;143.557;59.893;2357147.0;8.898;32.0;0.089;100.333;5.902;1.661;143.557;59.893;ACC0334D
1; _1603-3054;156.58;50.426;2364093.0;7.368;32.0;0.084;87.36;5.139;1.386;156.58;50.426;ACC0334V
1; _1362-2629;156.477;55.363;2415606.0;8.229;32.0;0.09;91.786;5.399;1.645;156.477;55.363;ACC0335D
1; _1736-2650;161.716;46.68;2388181.0;6.674;32.0;0.081;81.904;4.818;1.208;161.716;46.68;ACC0335V
1; _1415-2571;157.406;55.647;2495355.0;7.948;45.255;0.086;92.172;5.422;1.514;157.406;55.647;ACC0336D
1; _1637-2676;168.138;44.56;2471176.0;6.315;32.0;0.08;78.668;4.628;1.076;168.138;44.56;ACC0336V
1; _1542-2527;159.682;54.675;2111673.0;7.943;32.0;0.088;90.608;5.33;1.708;159.682;54.675;ACC0337D
1; _1703-2544;167.233;46.28;2108110.0;6.409;32.0;0.081;79.241;4.661;1.223;167.233;46.28;ACC0337V
1; _1525-2572;151.659;50.885;1293729.0;6.328;22.627;0.075;84.927;4.996;0.745;151.659;50.885;ACC0338D
1; _1522-2701;166.071;38.472;1282626.0;4.823;32.0;0.071;67.816;3.989;0.534;166.071;38.472;ACC0338V
1; _1498-2495;134.377;50.988;1244683.0;6.782;22.627;0.073;92.692;5.452;0.871;134.377;50.988;ACC0339D
1; _1336-2426;152.355;39.888;1244939.0;5.232;22.627;0.07;74.216;4.366;0.62;152.355;39.888;ACC0339V
1; _1140-2396;174.861;51.696;1561210.0;8.367;32.0;0.1;83.488;4.911;1.999;174.861;51.696;ACC0340D
1; _1437-2424;178.286;45.879;1569120.0;7.416;32.0;0.097;76.257;4.486;1.694;178.286;45.879;ACC0340V
1; _1225-2471;166.812;53.363;1573745.0;7.92;32.0;0.09;87.673;5.157;1.877;166.812;53.363;ACC0341D
1; _1551-2650;173.517;42.667;1599347.0;6.46;32.0;0.086;74.902;4.406;1.339;173.517;42.667;ACC0341V
1; _1419-2637;183.614;37.481;1790294.0;5.359;32.0;0.085;62.86;3.698;0.952;183.614;37.481;ACC0342D
1; _1659-2344;186.456;32.948;1766401.0;4.473;32.0;0.077;58.215;3.424;0.699;186.456;32.948;ACC0342V
1; _1345-2416;174.748;45.336;1563032.0;6.498;32.0;0.086;75.347;4.432;1.342;174.748;45.336;ACC0343D
1; _1559-2615;177.569;39.858;1566434.0;5.73;32.0;0.083;69.13;4.066;1.147;177.569;39.858;ACC0343V
1; _1495-2294;144.205;49.248;1295804.0;7.464;32.0;0.085;88.273;5.193;1.487;144.205;49.248;ACC0344D
1; _1554-2688;165.46;41.008;1320086.0;6.017;32.0;0.082;73.719;4.336;1.144;165.46;41.008;ACC0344V
1; _1255-2419;171.395;49.584;1887010.0;7.631;32.0;0.093;81.879;4.816;1.661;171.395;49.584;ACC0345D
1; _1609-2586;176.682;42.899;1884361.0;6.323;32.0;0.086;73.837;4.343;1.215;176.682;42.899;ACC0345V
1; _1490-2391;173.278;52.198;1551279.0;7.575;32.0;0.09;84.019;4.942;1.74;173.278;52.198;ACC0346D
1; _1507-2399;176.6;45.479;1557586.0;6.84;45.255;0.09;76.376;4.493;1.478;176.6;45.479;ACC0346V
1; _1514-2519;178.618;47.492;1774418.0;6.908;45.255;0.091;76.286;4.487;1.466;178.618;47.492;ACC0347D
1; _1441-2525;181.135;42.275;1771456.0;6.091;32.0;0.086;70.976;4.175;1.219;181.135;42.275;ACC0347V
1; _1247-2536;171.207;46.931;1712781.0;6.78;45.255;0.087;78.086;4.593;1.41;171.207;46.931;ACC0348D
1; _1463-2361;175.668;40.5;1740782.0;5.8;32.0;0.082;71.123;4.184;1.136;175.668;40.5;ACC0348V
1; _1536-2513;147.66;54.625;1173648.0;8.392;22.627;0.089;93.958;5.527;1.572;147.66;54.625;ACC0349D
1; _1682-2652;160.361;47.496;1167998.0;7.226;22.627;0.087;82.814;4.871;1.338;160.361;47.496;ACC0349V
1; _1462-2617;155.508;48.691;1165752.0;7.453;32.0;0.088;84.512;4.971;1.434;155.508;48.691;ACC0350D
1; _1366-2584;165.614;42.736;1182816.0;6.343;22.627;0.084;75.475;4.44;1.105;165.614;42.736;ACC0350V
1; _1600-2415;172.531;43.922;1294155.0;6.886;32.0;0.092;74.687;4.393;1.453;172.531;43.922;ACC0351D
1; _1573-2445;176.837;40.968;1275470.0;6.155;22.627;0.089;69.301;4.077;1.21;176.837;40.968;ACC0351V
1; _1616-2491;180.572;42.908;1304416.0;6.479;32.0;0.093;69.761;4.104;1.326;180.572;42.908;ACC0352D
1; _1589-2487;184.783;38.422;1334651.0;5.503;22.627;0.085;65.017;3.825;1.016;184.783;38.422;ACC0352V
1; _1584-2506;156.772;48.853;1016313.0;7.101;32.0;0.084;84.458;4.968;1.428;156.772;48.853;ACC0353D
1; _1845-2392;165.245;39.477;1008389.0;5.879;32.0;0.082;72.001;4.235;1.146;165.245;39.477;ACC0353V
1; _1450-2565;165.082;46.488;1209999.0;7.161;32.0;0.09;79.716;4.689;1.449;165.082;46.488;ACC0354D
1; _1740-2707;175.212;38.538;1256320.0;5.768;32.0;0.085;68.202;4.012;1.028;175.212;38.538;ACC0354V
1; _1614-2622;164.967;49.603;1115107.0;7.654;32.0;0.091;83.673;4.922;1.671;164.967;49.603;ACC0355D
1; _1756-2741;174.11;40.937;1099633.0;6.356;32.0;0.089;71.499;4.206;1.336;174.11;40.937;ACC0355V
1; _1511-2543;176.129;42.928;1409757.0;7.232;32.0;0.099;73.243;4.308;1.609;176.129;42.928;ACC0356D
1; _1682-2799;181.608;36.631;1425197.0;5.99;32.0;0.094;63.74;3.749;1.23;181.608;36.631;ACC0356V
1; _1488-2710;174.91;45.917;1399530.0;7.386;32.0;0.097;76.264;4.486;1.55;174.91;45.917;ACC0357D
1; _1494-2664;180.922;39.624;1408090.0;6.226;32.0;0.093;66.918;3.936;1.216;180.922;39.624;ACC0357V
1; _1529-2521;169.491;50.949;862621.0;6.045;45.255;0.076;79.561;4.68;1.196;169.491;50.949;ACC0358D
1; _1633-2516;178.973;36.615;871750.0;4.509;45.255;0.071;63.068;3.71;0.728;178.973;36.615;ACC0358V
1; _1607-2605;179.075;46.642;557792.0;5.848;32.0;0.08;72.928;4.29;1.526;179.075;46.642;ACC0359D
1; _1532-2557;181.885;36.46;608666.0;4.635;32.0;0.074;62.648;3.685;0.909;181.885;36.46;ACC0359V
1; _1614-2472;155.581;52.529;657781.0;7.546;45.255;0.085;88.836;5.226;1.894;155.581;52.529;ACC0360D
1; _1699-2550;169.409;39.389;681940.0;5.617;45.255;0.079;70.954;4.174;1.156;169.409;39.389;ACC0360V
1; _1583-2561;171.655;48.942;1104400.0;7.247;32.0;0.089;81.185;4.776;1.55;171.655;48.942;ACC0361D
1; _1593-2731;179.064;37.903;1113985.0;5.526;32.0;0.083;66.359;3.903;1.014;179.064;37.903;ACC0361V
1; _1471-2490;180.767;44.167;602329.0;5.856;32.0;0.082;71.182;4.187;1.451;180.767;44.167;ACC0362D
1; _1833-2560;185.096;34.489;609039.0;4.704;45.255;0.079;59.442;3.497;0.952;185.096;34.489;ACC0362V
1; _1518-2479;174.165;47.106;573338.0;7.163;22.627;0.094;76.403;4.494;1.959;174.165;47.106;ACC0363D
1; _1796-2321;180.558;35.666;610640.0;5.343;32.0;0.084;63.241;3.72;1.205;180.558;35.666;ACC0363V
1; _1579-2504;175.382;46.799;732754.0;7.052;22.627;0.091;77.216;4.542;1.695;175.382;46.799;ACC0364D
1; _1811-2413;181.481;36.804;736283.0;5.246;22.627;0.082;63.745;3.75;1.103;181.481;36.804;ACC0364V
1; _1603-2313;174.354;46.394;737141.0;6.524;45.255;0.085;76.344;4.491;1.437;174.354;46.394;ACC0365D
1; _1818-2348;178.335;40.304;756216.0;5.648;45.255;0.083;67.956;3.997;1.028;178.335;40.304;ACC0365V
1; _1627-2540;183.524;53.375;911671.0;7.308;22.627;0.089;82.514;4.854;1.874;183.524;53.375;ACC0366D
1; _1612-2425;188.514;43.272;943639.0;6.144;16.0;0.087;70.654;4.156;1.461;188.514;43.272;ACC0366V
1; _1763-2490;171.693;53.839;1190461.0;8.046;22.627;0.094;86.019;5.06;1.843;171.693;53.839;ACC0367D
1; _1945-2615;183.004;42.723;1183739.0;6.49;22.627;0.091;71.5;4.206;1.433;183.004;42.723;ACC0367V
1; _1678-2605;177.494;49.51;1385011.0;7.304;22.627;0.09;80.881;4.758;1.644;177.494;49.51;ACC0368D
1; _1814-2511;185.095;41.504;1381390.0;6.235;22.627;0.089;69.832;4.108;1.348;185.095;41.504;ACC0368V
1; _1511-2609;183.402;47.558;1454959.0;6.869;32.0;0.091;75.59;4.446;1.596;183.402;47.558;ACC0369D
1; _1606-2689;191.789;36.147;1430916.0;5.35;22.627;0.087;61.188;3.599;1.164;191.789;36.147;ACC0369V
1; _1635-2521;172.729;51.954;1363726.0;7.181;32.0;0.086;83.211;4.895;1.478;172.729;51.954;ACC0370D
1; _1792-2674;176.518;46.577;1386333.0;6.223;32.0;0.081;76.608;4.506;1.111;176.518;46.577;ACC0370V
1; _1704-2699;177.043;55.279;1252201.0;8.55;32.0;0.098;87.0;5.118;1.95;177.043;55.279;ACC0371D
1; _1780-2540;178.837;47.199;1290995.0;6.867;32.0;0.089;77.271;4.545;1.341;178.837;47.199;ACC0371V
1; _1504-2622;176.495;48.01;1415579.0;7.349;32.0;0.094;77.935;4.584;1.539;176.495;48.01;ACC0372D
1; _1736-2568;183.251;40.216;1414256.0;5.897;32.0;0.089;66.465;3.91;1.171;183.251;40.216;ACC0372V
1; _1544-2544;172.942;50.519;1541236.0;7.775;32.0;0.093;83.713;4.924;1.667;172.942;50.519;ACC0373D
1; _1814-2486;181.576;42.289;1550070.0;6.324;32.0;0.09;70.427;4.143;1.302;181.576;42.289;ACC0373V
1; _1309-2635;178.706;52.068;2002787.0;8.11;45.255;0.098;82.927;4.878;1.78;178.706;52.068;ACC0374D
1; _1624-2679;181.421;46.192;1984115.0;6.888;32.0;0.092;75.114;4.418;1.375;181.421;46.192;ACC0374V
1; _1374-2566;172.686;45.865;1922852.0;7.057;45.255;0.092;76.73;4.514;1.352;172.686;45.865;ACC0375D
1; _1424-2512;178.246;38.207;1880918.0;5.726;32.0;0.085;67.131;3.949;1.004;178.246;38.207;ACC0375V
1; _1294-2499;172.592;48.497;2220941.0;6.935;32.0;0.088;78.953;4.644;1.277;172.592;48.497;ACC0376D
1; _1291-2638;178.722;40.329;2200226.0;5.751;32.0;0.084;68.359;4.021;0.991;178.722;40.329;ACC0376V
1; _1265-2579;176.038;52.982;2434644.0;7.84;45.255;0.096;82.031;4.825;1.548;176.038;52.982;ACC0377D
1; _1409-2621;183.219;43.305;2451759.0;6.318;45.255;0.09;70.062;4.121;1.197;183.219;43.305;ACC0377V
1; _1281-2433;179.035;58.065;1099320.0;8.86;32.0;0.098;90.401;5.318;2.091;179.035;58.065;ACC0378D
1; _1305-2449;183.56;48.092;1098707.0;7.042;22.627;0.09;78.531;4.619;1.598;183.56;48.092;ACC0378V
1; _1370-2287;178.779;59.159;1110948.0;8.731;32.0;0.095;92.281;5.428;2.126;178.779;59.159;ACC0379D
1; _1557-2467;183.565;47.373;1133048.0;6.773;22.627;0.086;78.522;4.619;1.489;183.565;47.373;ACC0379V
1; _1263-2497;174.156;58.279;1329679.0;9.177;32.0;0.101;90.844;5.344;2.215;174.156;58.279;ACC0380D
1; _1550-2594;183.417;45.131;1354022.0;6.709;32.0;0.09;74.152;4.362;1.491;183.417;45.131;ACC0380V
