 ;Label;lumMean;lumSD;area;maxPower;maxFreq;propPower;sumPower;meanPower;powerSD;Mean;SD;File
1; _1312-2318;91.892;65.29;1614672.0;14.071;90.51;0.111;126.213;7.424;3.569;91.892;65.29;ACC0150D
1; _1365-2520;99.996;62.127;1635491.0;13.243;90.51;0.109;121.45;7.144;3.28;99.996;62.127;ACC0150V
1; _1373-2389;82.162;58.934;1980004.0;13.247;90.51;0.105;126.377;7.434;3.305;82.162;58.934;ACC0151D
1; _1326-2473;87.109;59.254;2011592.0;12.789;90.51;0.102;124.871;7.345;3.029;87.109;59.254;ACC0151V
1; _1455-2282;41.8;48.649;680138.0;10.915;45.255;0.085;128.294;7.547;2.445;41.8;48.649;ACC0152D
1; _1541-2327;54.833;39.497;693524.0;10.444;45.255;0.09;116.487;6.852;1.925;54.833;39.497;ACC0152V
1; _1465-2075;46.09;46.03;809782.0;10.853;128.0;0.087;124.35;7.315;2.255;46.09;46.03;ACC0153D
1; _1450-2262;62.095;42.719;820347.0;10.035;45.255;0.087;115.372;6.787;1.731;62.095;42.719;ACC0153V
1; _1478-2254;58.077;38.552;866838.0;10.646;45.255;0.093;114.234;6.72;2.126;58.077;38.552;ACC0154D
1; _1593-2067;63.224;45.718;893334.0;10.68;45.255;0.09;118.207;6.953;1.953;63.224;45.718;ACC0154V
1; _1623-2117;57.914;42.488;857871.0;10.868;45.255;0.092;118.14;6.949;2.139;57.914;42.488;ACC0155D
1; _1571-2115;63.867;47.468;868942.0;10.879;45.255;0.091;119.043;7.003;1.959;63.867;47.468;ACC0155V
1; _1552-2242;54.688;62.25;1156147.0;12.388;45.255;0.087;142.203;8.365;2.977;54.688;62.25;ACC0156D
1; _1469-2272;54.003;48.653;1121207.0;11.753;45.255;0.088;133.52;7.854;2.633;54.003;48.653;ACC0156V
1; _1473-2200;50.693;52.681;1038054.0;11.962;45.255;0.087;137.324;8.078;2.607;50.693;52.681;ACC0157D
1; _1549-2036;58.828;54.54;1051993.0;12.173;45.255;0.089;136.052;8.003;2.733;58.828;54.54;ACC0157V
1; _1406-2331;51.482;52.094;1359547.0;12.026;64.0;0.089;135.551;7.974;2.781;51.482;52.094;ACC0158D
1; _1401-2214;58.857;46.569;1318630.0;11.663;64.0;0.09;129.291;7.605;2.597;58.857;46.569;ACC0158V
1; _1592-2191;52.927;48.05;1539889.0;11.031;64.0;0.084;131.462;7.733;2.566;52.927;48.05;ACC0159D
1; _1384-2398;63.913;52.36;1574156.0;11.494;64.0;0.088;130.783;7.693;2.652;63.913;52.36;ACC0159V
1; _1566-2152;56.692;55.803;1011897.0;11.543;128.0;0.087;133.323;7.843;2.864;56.692;55.803;ACC0160D
1; _1547-2177;62.822;51.256;988955.0;12.069;45.255;0.093;129.731;7.631;2.818;62.822;51.256;ACC0160V
1; _1551-2279;52.935;50.277;785360.0;11.744;45.255;0.089;131.355;7.727;2.648;52.935;50.277;ACC0161D
1; _1587-2184;65.842;52.943;791835.0;12.299;45.255;0.096;128.088;7.535;2.754;65.842;52.943;ACC0161V
1; _1464-2203;63.482;49.638;776709.0;11.718;45.255;0.092;127.111;7.477;2.673;63.482;49.638;ACC0162D
1; _1626-2327;74.077;50.786;780857.0;11.645;45.255;0.094;123.471;7.263;2.597;74.077;50.786;ACC0162V
1; _1453-2009;64.147;52.459;979983.0;11.946;45.255;0.092;129.967;7.645;2.725;64.147;52.459;ACC0163D
1; _1521-2326;70.873;52.17;958920.0;11.718;45.255;0.091;128.112;7.536;2.701;70.873;52.17;ACC0163V
1; _1521-2074;45.531;33.954;991247.0;10.315;64.0;0.083;124.132;7.302;2.26;45.531;33.954;ACC0164D
1; _1535-2192;68.937;45.367;1014531.0;11.115;64.0;0.092;120.606;7.094;2.477;68.937;45.367;ACC0164V
1; _1472-2150;71.148;52.167;1136727.0;11.17;128.0;0.09;124.089;7.299;2.595;71.148;52.167;ACC0165D
1; _1477-2149;77.276;46.098;1140891.0;10.652;64.0;0.09;118.794;6.988;2.254;77.276;46.098;ACC0165V
1; _1429-2340;64.405;48.536;1444495.0;11.499;64.0;0.091;125.814;7.401;2.595;64.405;48.536;ACC0166D
1; _1558-2291;75.325;53.557;1475593.0;12.025;64.0;0.097;124.446;7.32;2.733;75.325;53.557;ACC0166V
1; _1571-2198;60.777;48.777;1049369.0;11.604;64.0;0.091;127.839;7.52;2.61;60.777;48.777;ACC0167D
1; _1542-2169;75.204;51.718;1070424.0;11.638;64.0;0.094;124.346;7.314;2.614;75.204;51.718;ACC0167V
1; _1616-2387;51.933;49.955;1299507.0;11.644;128.0;0.095;123.17;7.245;2.928;51.933;49.955;ACC0168D
1; _1573-2296;59.893;24.762;1292242.0;8.552;181.019;0.081;105.448;6.203;1.84;59.893;24.762;ACC0168V
1; _1491-2289;38.807;37.214;1410478.0;10.862;128.0;0.09;120.933;7.114;2.713;38.807;37.214;ACC0169D
1; _1561-2443;46.79;22.266;1387843.0;9.39;181.019;0.087;108.156;6.362;1.958;46.79;22.266;ACC0169V
1; _1362-2223;70.068;54.818;1515087.0;12.423;64.0;0.1;124.584;7.328;2.768;70.068;54.818;ACC0170D
1; _1659-2324;82.206;54.163;1495904.0;12.036;64.0;0.101;119.278;7.016;2.545;82.206;54.163;ACC0170V
1; _1592-2254;69.304;56.267;1422146.0;12.682;64.0;0.1;126.441;7.438;2.938;69.304;56.267;ACC0171D
1; _1644-2273;81.786;53.963;1423434.0;12.149;64.0;0.101;120.105;7.065;2.702;81.786;53.963;ACC0171V
1; _1498-2156;42.424;46.83;1467075.0;11.144;181.019;0.088;126.898;7.465;2.737;42.424;46.83;ACC0172D
1; _1549-2315;53.758;37.035;1423454.0;9.979;64.0;0.085;117.828;6.931;2.141;53.758;37.035;ACC0172V
1; _1474-2411;49.116;50.615;1303673.0;10.927;64.0;0.087;126.198;7.423;2.473;49.116;50.615;ACC0173D
1; _1555-2334;63.335;40.697;1252395.0;9.979;45.255;0.086;115.944;6.82;1.924;63.335;40.697;ACC0173V
1; _1567-2305;64.227;40.809;1210261.0;10.219;64.0;0.089;114.988;6.764;2.211;64.227;40.809;ACC0174D
1; _1590-2271;72.014;44.686;1210789.0;10.706;64.0;0.092;116.062;6.827;2.221;72.014;44.686;ACC0174V
1; _1329-2319;56.839;38.928;1333754.0;10.166;64.0;0.086;117.609;6.918;2.243;56.839;38.928;ACC0175D
