"Tundra";"Tropical & Subtropical Moist Broadleaf Forests";"Mediterranean Forests, Woodlands & Scrub";"Deserts & Xeric Shrublands";"Temperate Grasslands, Savannas & Shrublands";"Boreal Forests/Taiga";"Temperate Conifer Forests";"Temperate Broadleaf & Mixed Forests";"Montane Grasslands & Shrublands";"Mangroves";"Flooded Grasslands & Savannas";"Tropical & Subtropical Grasslands, Savannas & Shrublands";"Tropical & Subtropical Dry Broadleaf Forests";"Tropical & Subtropical Coniferous Forests";"N/A"
"Graphium_adamastor";0;23.38;0;0;0;0;0;0;0;0.637;0;75.983;0;0;0
"Graphium_angolanus";0;17.084;0.295;5.623;0;0;0;0;1.832;0.301;3.003;71.68;0.183;0;0
"Graphium_ridleyanus";0;31.153;0;0.053;0;0;0;0;0.674;0.366;1.972;65.408;0.374;0;0
"Graphium_tynderaeus";0;44.969;0;0;0;0;0;0;0.01;0.551;0.61;53.618;0.243;0;0
"Graphium_latreillianus";0;38;0;0;0;0;0;0;0.182;0.437;1.06;60.229;0.093;0;0
"Graphium_leonidas";0;17.573;0.289;4.314;0;0;0;0;2.134;0.307;3.022;72.175;0.186;0;0
"Graphium_xenocles";0;65.645;0;0.053;0;0;2.79;2.499;4.136;1.391;0;0.543;22.031;0.433;0.478
"Graphium_antiphates";0;69.806;0;4.534;0;0;2.343;1.406;3.3;1.452;0;0.28;16.316;0.272;0.291
"Protographium_asius";0;67.155;0;0;0;0;0;0;0;0.035;0;30.561;2.249;0;0
"Graphium_arycles";0;81.055;0;0;0;0;1.713;0.33;0.184;1.767;0;0;14.92;0.031;0
"Graphium_evemon";0;81.055;0;0;0;0;1.713;0.33;0.184;1.767;0;0;14.92;0.031;0
"Protographium_leosthenes";0;5.168;0;0;0;0;0;39.027;0;0;0;55.805;0;0;0
"Graphium_doson";0;58.429;0;11.512;0;0;1.297;1.677;1.659;0.983;0.373;0.173;22.721;0.866;0.309
"Graphium_eurous";0;57.518;0;0.006;0;0;9.037;11.742;19.3;0;0;0.107;0.154;0.704;1.432
"Graphium_weiskei";0;93.031;0;0;0;0;0;0;2.923;2.079;0;1.966;0;0;0
"Sericinus_montela";0;15.45;0;17.651;6.502;0.003;5.898;27.541;25.269;0;1.103;0;0;0;0.585
"Graphium_wallacei";0;95.309;0;0;0;0;0;0;2.064;2.626;0;0;0;0;0
"Graphium_agamemnon";0.001;27.02;5.966;30.02;3.743;0;0.594;4.645;0.848;0.451;0.171;15.587;10.416;0.397;0.142
"Graphium_macfarlanei";0;88.183;0;0;0;0;0;0;1.611;2.55;0;7.656;0;0;0
"Graphium_codrus";0;94.707;0;0;0;0;0;0;1.113;1.767;0;1.907;0;0.506;0
"Graphium_cloanthus";0;48.551;0;0;0;0;14.824;9.166;24.118;0;0;0.284;0.451;0.948;1.659
"Graphium_milon";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Graphium_sarpedon";0;66.159;0;4.885;0;0;0.67;9.088;0.059;1.191;0;2.095;15.018;0.835;0
"Teinopalpus_imperialis";0;74.264;0;0;0;0;13.176;6.351;3.691;0;0;0.451;0.427;1.248;0.393
"Battus_philenor";0;2.138;1.831;21.132;31.603;0;6.227;22.487;0;0.27;0.309;1.402;5.437;7.164;0
"Battus_polydamas";0;50.916;0.106;5.126;3.228;0;0.052;0.19;0.612;0.545;1.562;23.534;11.139;2.991;0
"Battus_polystictus";0;39.03;0;0;10.262;0;0;0;0;0.257;2.543;47.908;0;0;0
"Battus_belus";0;76.743;0;0;0;0;0;0;0.003;0;1.311;17.583;4.36;0;0
"Battus_crassus";0;62.399;0;0.762;0;0;0;0;0.001;0.003;0.451;31.102;5.281;0;0
"Pharmacophagus_antenor";0;48.061;0;24.231;0;0;0;0;0.209;0.105;0;0;27.394;0;0
"Pachliopta_aristolochiae";0;55.582;0;12.369;0;0;1.393;1.802;1.773;0.937;0.401;0.186;24.412;0.813;0.332
"Pachliopta_hector";0;42.012;0;15.247;0;0;1.882;4.137;1.639;0.673;0.217;1.047;30.411;2.581;0.154
"Pachliopta_liris";0;14.125;0;0;0;0;0;0;0;0;0;0;85.875;0;0
"Pachliopta_polydorus";0.001;6.766;10.274;42.606;6.446;0;0;6.675;0.221;0.049;0;26.932;0.031;0;0
"Atrophaneura_priapus";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Atrophaneura_nox";0;96.903;0;0;0;0;0;0;0.039;2.876;0;0;0;0.181;0
"Atrophaneura_varuna";0;78.191;0;0;0;0;0.946;4.06;0.37;1.703;0;0.737;12.208;1.775;0.012
"Cressida_cressida";0;4.234;0;0;1.421;0;0;11.753;0.009;0.028;0;80.82;1.734;0;0
"Euryades_corethrus";0;22.13;0;0;14.29;0;0;0;0;0;6.567;57.013;0;0;0
"Euryades_duponchelii";0;12.025;0;0;14.432;0;0;0;2.509;0;4.912;66.123;0;0;0
"Parides_ascanius";0;96.726;0;0;0;0;0;0;0;3.274;0;0;0;0;0
"Parides_bunichus";0;27.417;0;0;4.71;0;0;0;0;0.02;2.068;54.663;11.121;0;0
"Parides_proneus";0;53.435;0;0;0;0;0;0;0;0.189;0.703;45.226;0.447;0;0
"Parides_agavus";0;42.452;0;0;0.644;0;0;0;0;0.196;5.278;48.443;2.987;0;0
"Parides_montezuma";0;29.321;0;17.531;0;0;0;0;0;1.754;0;0.341;21.795;29.258;0
"Parides_iphidamas";0;64.538;0;2.129;0;0;0;0;1.532;2.466;0.172;1.475;16.275;11.413;0
"Parides_aeneas";0;93.111;0;0;0;0;0;0;1.143;0.391;0;4.823;0.532;0;0
"Parides_tros";0;96.699;0;0;0;0;0;0;0;2.485;0;0.816;0;0;0
"Parides_lysander";0;82.892;0;0;0;0;0;0;0.001;0;0.002;14.297;2.808;0;0
"Parides_panthonus";0;90.103;0;0;0;0;0;0;0.351;0.787;0;7.758;1;0;0
"Parides_neophilus";0;69.07;0;0.005;0.028;0;0;0;0;0.3;2.08;24.929;3.587;0;0
"Parides_eurimedes";0;54.337;0;5.93;0;0;0;0;1.497;1.796;0.126;9.083;16.918;10.314;0
"Parides_zacynthus";0;85.771;0;0;0;0;0;0;0;2.991;0;0.439;10.799;0;0
"Parides_chabrias";0;94.785;0;0;0;0;0;0;0;0.319;0;4.048;0.849;0;0
"Parides_childrenae";0;87.406;0;0;0;0;0;0;1.634;1.027;0;0.046;7.138;2.748;0
"Parides_photinus";0;30.033;0;19.306;0;0;0;0;0;1.839;0;0.88;22.103;25.839;0
"Parides_panares";0;56.495;0;4.004;0;0;0;0;1.485;1.987;0.132;4.587;19.933;11.377;0
"Parides_sesostris";0;44.25;0.821;6.085;8.092;0;0;1.925;4.373;0.405;1.222;20.121;9.827;2.792;0.087
"Parides_anchises";0;59.151;0;0.959;0;0;0;0;0.001;0.029;1.578;29.382;8.899;0;0
"Parides_erithalion";0;54.642;0;4.002;0;0;0;0;7.75;0.643;1.927;16.607;10.365;4.065;0
"Parides_vertumnus";0;85.303;0;0;0;0;0;0;0.001;0;0.365;11.138;3.193;0;0
"Trogonoptera_brookiana";0;99.366;0;0;0;0;0;0;0.099;0.013;0;0;0;0.522;0
"Trogonoptera_trojana";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ornithoptera_croesus";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ornithoptera_priamus";0;91.108;0;0;0;0;0;0;1.667;2.638;0;4.588;0;0;0
"Ornithoptera_aesacus";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ornithoptera_euphorion";0;76.369;0;0;0;0;0;0;0;0;0;23.631;0;0;0
"Ornithoptera_alexandrae";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ornithoptera_victoriae";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ornithoptera_rothschildi";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ornithoptera_goliath";0;99.485;0;0;0;0;0;0;0.515;0;0;0;0;0;0
"Ornithoptera_chimaera";0;97.241;0;0;0;0;0;0;2.759;0;0;0;0;0;0
"Ornithoptera_tithonus";0;93.8;0;0;0;0;0;0;0;6.2;0;0;0;0;0
