"Tundra";"Tropical & Subtropical Moist Broadleaf Forests";"Mediterranean Forests, Woodlands & Scrub";"Deserts & Xeric Shrublands";"Temperate Grasslands, Savannas & Shrublands";"Boreal Forests/Taiga";"Temperate Conifer Forests";"Temperate Broadleaf & Mixed Forests";"Montane Grasslands & Shrublands";"Mangroves";"Flooded Grasslands & Savannas";"Tropical & Subtropical Grasslands, Savannas & Shrublands";"Tropical & Subtropical Dry Broadleaf Forests";"Tropical & Subtropical Coniferous Forests";"N/A"
"Archon_apollinus";0;0;39.021;4.256;14.579;0;10.846;31.298;0;0;0;0;0;0;0
"Zerynthia_polyxena";0;0;29.899;0;59.745;0;0;10.356;0;0;0;0;0;0;0
"Zerynthia_rumina";0;0;59.743;0;0;0;3.59;36.664;0.002;0;0;0;0;0;0
"Hypermnestra_helios";0;0;0;72.472;12.504;0;1.925;0.553;12.361;0;0;0;0;0;0.186
"Parnassius_apollo";1.849;0;3.372;6.934;33.318;20.203;11.025;19.505;3.794;0;0;0;0;0;0
"Parnassius_mnemosyne";0.096;0;4.488;6.91;20.838;14.753;5.978;41.398;5.415;0;0;0;0;0;0.124
"Parnassius_staudingeri";0;0;0;19.187;31.323;0;0.062;0;45.707;0;0;0;0;0;3.721
"Parnassius_cardinal";0;0;0;98.181;0;0;0;0;1.819;0;0;0;0;0;0
"Mimoides_euryleon";0;82.909;0;0;0;0;0;0;2.57;1.951;0;2.586;9.968;0.017;0
"Graphium_delessertii";0;96.669;0;0;0;0;0;0;0.043;3.093;0;0;0;0.196;0
"Losaria_coon";0;74.302;0;0;0;0;0;0.177;0;0.299;0;0.22;24.921;0.08;0
"Losaria_neptunus";0;97.414;0;0;0;0;0;0;0.059;2.435;0;0;0;0.092;0
"Byasa_impediens";0;50.072;0;0;0;0;0.345;49.525;0.057;0;0;0;0;0;0
"Byasa_plutonius";0;28.14;0;0.774;0;0;18.923;36.677;12.878;0;0;0.537;0;1.533;0.538
"Byasa_mencius";0;32.671;0;0;1.363;0;0;64.469;0.604;0;0.894;0;0;0;0
"Byasa_alcinous";0;41.359;0;0;0;0.381;3.333;51.268;1.995;0.047;0.79;0.002;0;0.545;0.28
"Byasa_dasarada";0;57.873;0;0.661;0;0;3.798;6.43;14.19;0.101;0;0.737;10.95;3.443;1.817
"Papilio_ulysses";0;49.439;0;0;1.496;0;0;11.065;0.82;1.245;0;35.935;0;0;0
"Papilio_paris";0;75.437;0;1.42;0;0;6.921;2.955;5.167;0.126;0;0.737;5.894;0.781;0.562
"Papilio_dehaanii";0;0.281;0;0;0;1.311;10.298;87.465;0;0;0.646;0;0;0;0
"Papilio_gambrisius";0;96.563;0;0;0;0;0;0;0;0;0;0;3.437;0;0
"Bhutanitis_lidderdalii";0;57.149;0;0;0;0;15.303;14.301;12.005;0;0;0.02;0.375;0.687;0.16
"Allancastria_louristana";0;0;0;45.814;0;0;0;50.665;0;0;3.521;0;0;0;0
"Parnassius_behrii";0;0;0;32.774;35.861;0;31.365;0;0;0;0;0;0;0;0
"Parnassius_hoenei";0;0.942;0;0;0;0;15.729;83.329;0;0;0;0;0;0;0
"Parnassius_acdestis";0;0.314;0;0.604;6.841;0;8.411;2.91;76.624;0;0;0.013;0;0.984;3.3
"Parnassius_loxias";0;0;0;46.229;6.076;0;1.856;2.149;43.061;0;0;0;0;0;0.628
"Parnassius_patricius";0;0;0;55.084;11.444;0;2.114;2.66;27.92;0;0;0;0;0;0.777
"Parnassius_stenosemus";0;0;0;10.811;0;0;4.25;1.594;67.539;0;0;0;0;4.165;11.641
"Mimoides_ilus";0;20.696;0.667;33.772;0;0;0;0;0;1.412;0;1.426;18.463;23.563;0
"Mimoides_pausanias";0;59.631;0;2.352;0;0;0;0;3.279;0.325;1.354;21.469;11.591;0;0
"Eurytides_orabilis";0;85.38;0;0;0;0;0;0;0.162;3.745;0;0;10.713;0;0
"Eurytides_serville";0;89.071;0;0;0;0;0;0;9.59;0.192;0;0;1.147;0;0
"Protographium_leucaspis";0;89.071;0;0;0;0;0;0;9.59;0.192;0;0;1.147;0;0
"Protographium_dioxippus";0;44.25;0.821;6.085;8.092;0;0;1.925;4.373;0.405;1.222;20.121;9.827;2.792;0.087
"Protographium_thyastes";0;72.008;0;0.056;0;0;0;0;0.001;0.492;1.225;19.822;3.996;2.401;0
"Protesilaus_helios";0;38.72;0;0;1.351;0;0;0;0;0.195;2.41;54.967;2.357;0;0
"Protesilaus_glaucolaus";0;59.631;0;2.352;0;0;0;0;3.279;0.325;1.354;21.469;11.591;0;0
"Graphium_phidias";0;77.609;0;0;0;0;2.056;0.396;0.221;1.785;0;0;17.914;0.019;0
"Graphium_macareus";0;58.429;0;11.512;0;0;1.297;1.677;1.659;0.983;0.373;0.173;22.721;0.866;0.309
"Graphium_ramaceus";0;96.731;0;0;0;0;0;0;0.057;3.001;0;0;0;0.211;0
"Graphium_androcles";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Graphium_aristeus";0.001;32.789;6.598;27.811;4.139;0;0.514;4.738;0.504;0.704;0;17.25;4.579;0.318;0.054
"Graphium_thule";0;97.473;0;0;0;0;0;0;0;0;0;0;0;2.527;0
"Graphium_leechi";0;0;0;0;8.493;0;4.08;75.005;4.706;0;7.716;0;0;0;0
"Graphium_bathycles";0;81.055;0;0;0;0;1.713;0.33;0.184;1.767;0;0;14.92;0.031;0
"Graphium_chironides";0;77.609;0;0;0;0;2.056;0.396;0.221;1.785;0;0;17.914;0.019;0
"Graphium_eurypylus";0.001;27.02;5.966;30.02;3.743;0;0.594;4.645;0.848;0.451;0.171;15.587;10.416;0.397;0.142
"Graphium_glycerion";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Graphium_empedovana";0;97.473;0;0;0;0;0;0;0;0;0;0;0;2.527;0
"Atrophaneura_dixoni";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Byasa_polyeuctes";0;55.582;0;12.369;0;0;1.393;1.802;1.773;0.937;0.401;0.186;24.412;0.813;0.332
"Meandrusa_sciron";0;61.194;0;0;0;0;12.943;15.719;10.144;0;0;0;0;0;0
"Papilio_slateri";0;76.662;0;0;0;0;2.424;1.923;0.557;1.639;0;0.004;16.457;0.311;0.023
"Papilio_neyi";0;47.638;0;2.765;0;0;0;0;43.916;0.09;0.007;1.349;4.235;0;0
"Papilio_zagreus";0;59.631;0;2.352;0;0;0;0;3.279;0.325;1.354;21.469;11.591;0;0
"Papilio_birchallii";0;75.677;0;2.304;0;0;0;0;1.302;0.681;0;12.898;7.136;0;0
"Papilio_warscewiczii";0;69.556;0;0;0;0;0;0;21.837;0.124;0;2.151;6.331;0;0
"Papilio_cacicus";0;47.638;0;2.765;0;0;0;0;43.916;0.09;0.007;1.349;4.235;0;0
"Papilio_machaonides";0;64.273;0;0;0;0;0;0;0;1.966;0.575;0;21.093;12.093;0
"Papilio_lamarchei";0;10.799;0;0;40.973;0;0;1.938;14.237;0;2.46;23.435;6.123;0;0.035
"Papilio_chiansiades";0;59.631;0;2.352;0;0;0;0;3.279;0.325;1.354;21.469;11.591;0;0
"Papilio_garleppi";0;59.631;0;2.352;0;0;0;0;3.279;0.325;1.354;21.469;11.591;0;0
"Papilio_antimachus";0;46.19;0;0;0;0;0;0;0.002;0.298;0.085;53.426;0;0;0
"Papilio_zalmoxis";0;46.19;0;0;0;0;0;0;0.002;0.298;0.085;53.426;0;0;0
"Papilio_telegonus";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_daedalus";0;97.473;0;0;0;0;0;0;0;0;0;0;0;2.527;0
"Papilio_pericles";0;7.85;0;0;0;0;0;0;0;0;0;0;92.15;0;0
"Papilio_arjuna";0;97.421;0;0;0;0;0;0;0;1.988;0;0;0;0.591;0
"Papilio_karna";0;97.151;0;0;0;0;0;0;0.054;2.596;0;0;0;0.199;0
"Papilio_hermosanus";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_syfanius";0;18.728;0;0;0;0;14.765;6.955;57.497;0;0;0;0;0;2.055
"Papilio_krishna";0;74.344;0;1.743;0;0;1.995;1.749;1.288;1.546;0;0.159;15.817;1.149;0.211
"Papilio_hopponis";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_dialis";0;77.609;0;0;0;0;2.056;0.396;0.221;1.785;0;0;17.914;0.019;0
"Papilio_erithonioides";0;52.71;0;20.778;0;0;0;0;0.217;0.837;0;0;25.458;0;0
"Papilio_pitmani";0;81.534;0;0;0;0;1.64;0.316;0.193;2.021;0;0;14.282;0.015;0
"Papilio_albinus";0;93.711;0;0;0;0;0;0;1.286;0.881;0;4.122;0;0;0
"Papilio_forbesi";0;96.098;0;0;0;0;0;0;0;3.008;0;0;0;0.894;0
"Papilio_thaiwanus";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_oenomaus";0;7.85;0;0;0;0;0;0;0;0;0;0;92.15;0;0
