Species;AR;FA;PA;SA;AN;MA;LA;RU;AP;ZY;RO;HE
Luehdorfia_japonica;1;0;0;0;0;0;0;0;0;0;0;0
Luehdorfia_longicaudata;1;0;0;0;0;0;0;0;0;0;0;0
Luehdorfia_puziloi;1;0;0;0;0;0;0;0;0;0;0;0
Luehdorfia_taibai;1;0;0;0;0;0;0;0;0;0;0;0
Meandrusa_payeni;0;0;0;0;0;0;1;0;0;0;0;0
Meandrusa_sciron;0;0;0;0;0;0;1;0;0;0;0;0
Mimoides_euryleon;0;0;0;0;1;0;0;0;0;0;0;0
Mimoides_ilus;0;0;0;0;1;0;0;0;0;0;0;0
Mimoides_lysithous;0;0;0;0;1;0;0;0;0;0;0;0
Mimoides_pausanias;0;0;0;0;1;0;0;0;0;0;0;0
Ornithoptera_aesacus;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_alexandrae;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_arfakensis;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_chimaera;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_croesus;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_euphorion;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_goliath;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_meridionalis;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_paradisea;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_priamus;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_richmondia;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_rothschildi;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_tithonus;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_victoriae;1;0;0;0;0;0;0;0;0;0;0;0
Pachliopta_aristolochiae;1;0;0;0;0;0;0;0;0;0;0;0
Pachliopta_hector;1;0;0;0;0;0;0;0;0;0;0;0
Pachliopta_kotzebuea;1;0;0;0;0;0;0;0;0;0;0;0
Pachliopta_liris;1;0;0;0;0;0;0;0;0;0;0;0
Pachliopta_polydorus;1;0;0;0;0;0;0;0;0;0;0;0
Papilio_aegeus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_agestor;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_albinus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_alexanor;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_ambrax;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_amynthor;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_anactus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_anchisiades;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_andraemon;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_androgeus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_antimachus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_appalachiensis;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_arcturus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_aristodemus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_aristor;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_astyalus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_benguetana;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_bianor;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_birchallii;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_blumei;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_bootes;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_brevicauda;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_bridgei;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_buddha;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_cacicus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_caiguanabus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_canadensis;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_castor;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_chiansiades;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_chikae;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_clytia;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_constantinus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_cresphontes;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_crino;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_daedalus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_dardanus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_dehaanii1;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_dehaanii2;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_deiphobus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_delalandei;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_demetrius;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_demodocus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_demoleus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_demolion;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_dialis;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_dravidarum;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_elwesi;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_enganius;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_epenetus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_epiphorbas;0;0;0;0;0;0;0;1;0;0;0;0
