id;view;wing;side;x;y;minor_axis;major_axis;distance_contours;distance_CU2;A_wing
ACC0008;D;Ant;d;531.0654907;203.5794373;12.54792786;21.35394669;22.99848755;;16368
ACC0008;V;Ant;d;505.7576599;247.980896;13.73614502;23.5704422;21.34212594;;14453
ACC0008;V;Ant;d;547.2737427;227.6981964;11.92665195;17.28203011;21.77202896;;14453
ACC0008;V;Post;d;512.4258423;404.0619507;11.52823162;13.94638729;15.86307296;406.8283056;11302
ACC0008;V;Post;d;485.8969421;405.1590271;13.7089262;17.58590889;15.95637355;392.4597433;11302
ACC0008;V;Post;d;532.4593506;390.5906372;10.89751148;12.82574177;14.87271161;408.7189545;11302
ACC0008;V;Post;d;537.9890137;364.9305725;11.08552837;13.84786606;14.17733915;393.2008505;11302
ACC0008;V;Post;d;529.2702026;335.3349609;12.49299908;14.3901186;9.94528597;365.9029682;11302
ACC0008;V;Post;d;490.7762756;345.5046082;9.995103836;13.81856441;39.51917422;347.3943106;11302
ACC0009;D;Ant;g;258.4478455;181.920166;12.58090687;18.96262932;20.87200356;;14112
ACC0009;D;Post;g;288.240387;316.3645935;7.513041973;12.96207333;34.40961384;279.8958536;9845
ACC0009;D;Post;g;283.403595;372.0720825;6.638085365;9.972581863;14.37586381;326.0905065;9845
ACC0009;V;Ant;g;303.5918274;217.4208374;15.75876999;21.02501488;18.60122671;;13489
ACC0009;V;Ant;g;272.1900635;186.403656;11.37887096;18.12815666;21.36423616;;13489
ACC0009;V;Post;g;276.8240356;371.2307739;10.09175873;12.06394768;15.51759297;329.3671816;9768
ACC0009;V;Post;g;255.0192108;362.8600769;7.38041687;8.717299461;16.50205716;336.7045802;9768
ACC0009;V;Post;g;242.3512421;345.5005798;8.361351967;9.177275658;13.95692097;332.6517377;9768
ACC0009;V;Post;g;260.9818115;297.9282532;8.406064034;9.88280201;9.36352735;286.4973278;9768
ACC0009;V;Post;g;287.4710388;317.2360535;5.88142395;9.342786789;36.23605347;281.0581743;9768
ACC0010;D;Ant;d;484.4622498;198.262558;9.787423134;16.37631416;20.72146418;;15947
ACC0010;D;Ant;d;524.7576904;171.7640991;11.3525095;15.53968334;24.08098129;;15947
ACC0010;D;Post;d;479.9033203;350.2801514;6.212040424;12.34887314;17.52474366;299.9086504;10340
ACC0010;D;Post;d;505.415863;347.8215027;5.140266418;8.850193024;15.38850627;316.1673447;10340
ACC0010;D;Post;d;522.414917;332.3171997;7.066431522;9.835993767;16.70607195;318.7305077;10340
ACC0010;D;Post;d;524.9431763;308.7691345;7.660624504;10.746171;16.92497871;306.4582904;10340
ACC0010;D;Post;d;478.3627625;296.8625183;6.48039484;12.78199005;34.33093034;262.1842193;10340
ACC0010;V;Ant;d;484.6492004;202.2020111;10.41517925;17.2787056;20.43041396;;15231
ACC0010;V;Ant;d;524.5003662;177.2130432;10.56852341;13.35850525;24.87624843;;15231
ACC0011;V;Post;d;467.7544861;371.6685486;5.307929039;6.742154121;15.33189844;323.2934734;7316
ACC0011;V;Post;d;411.8340759;364.8442993;13.20524597;16.10407829;10.61022139;297.2143673;7316
ACC0011;V;Post;d;460.2456665;349.2191162;4.438105583;5.933432102;7.828224156;299.7932198;7316
ACC0011;V;Post;d;416.9936829;351.4753113;9.730039597;16.77223015;19.14593858;285.9007056;7316
ACC0012;V;Post;d;574.4364014;407.7446899;22.31015968;25.79436874;14.40141135;488.7819225;28025
ACC0012;V;Post;d;537.9121704;401.5194702;24.00867462;26.76978111;19.26089066;458.2633417;28025
ACC0012;V;Post;d;596.6428833;378.9250488;21.00407028;26.81086731;15.51759478;486.7396182;28025
ACC0012;V;Post;d;499.1440735;357.8595276;15.70922089;24.62682915;12.40431242;399.9603145;28025
ACC0012;V;Post;d;597.7280884;332.8807373;17.49865723;22.57025528;20.78269867;460.2581928;28025
ACC0012;V;Post;d;472.565033;331.9060364;11.82371807;16.28578377;11.34135125;362.8152662;28025
ACC0012;V;Post;d;576.3377075;274.3600159;25.91577339;32.21088028;14.91341197;411.3317811;28025
ACC0012;V;Post;d;479.8597107;268.9588928;30.754879;36.5867157;47.92056768;327.0945713;28025
ACC0012;V;Post;d;514.7752686;259.1719666;15.01758957;20.84314346;36.64173604;350.5340479;28025
ACC0012;V;Post;d;542.1719971;240.5626068;17.04284668;19.57374763;12.35803702;365.2823691;28025
ACC0012;V;Post;d;454.1473083;234.7171173;10.43712044;19.78085327;20.56741876;286.3306672;28025
ACC0012;V;Post;d;494.6062012;232.2153778;25.56149101;31.43629074;15.21537781;319.4309263;28025
ACC0013;D;Ant;g;273.89328;196.3990631;21.58053207;25.79969025;22.93381734;;32721
ACC0013;D;Ant;g;334.8451538;186.9771576;26.7213974;38.32794952;31.02284241;;32721
ACC0013;D;Ant;g;245.4694672;169.1410675;16.49116325;22.93671417;30.6390429;;32721
ACC0013;D;Ant;g;373.5523987;169.2061768;19.75154114;26.01468277;22.38260113;;32721
ACC0013;D;Ant;g;299.8476868;162.4299774;16.98075104;23.49174118;57.30560437;;32721
ACC0013;D;Ant;g;273.2139282;139.9716034;18.36496735;24.1054554;67.53227085;;32721
ACC0013;D;Ant;g;227.0939026;139.3923492;15.42590904;20.36843491;30.34051449;;32721
ACC0013;D;Ant;g;331.0970764;134.9814911;21.62229919;37.39011765;27.39062;;32721
ACC0013;D;Ant;g;247.9690857;114.4083023;18.27368927;27.97279739;58.39927769;;32721
ACC0013;D;Ant;g;206.1666412;109.6948547;13.14204979;21.10562325;27.1672277;;32721
ACC0013;D;Ant;g;282.9090576;98.95770264;24.74339104;37.52537155;28.62090882;;32721
ACC0013;D;Ant;g;238.4181366;88.79810333;10.6733408;13.12696552;45.39488816;;32721
ACC0013;D;Ant;g;200.088501;84.88554382;12.64944458;19.86788559;32.67042431;;32721
ACC0013;D;Ant;g;226.6467896;68.94515228;13.37837982;29.12697792;34.60991271;;32721
ACC0013;D;Ant;g;183.6895142;64.48976898;11.17661762;13.82166767;30.68944762;;32721
ACC0013;D;Ant;g;236.5740356;53.80639267;12.66785812;25.89717865;16.56424494;;32721
ACC0013;D;Ant;g;167.3358612;45.28839493;13.31230927;15.06414318;29.73204854;;32721
ACC0013;D;Ant;g;189.4852753;31.37820816;11.49397087;18.72920418;15.77474488;;32721
ACC0013;D;Post;g;359.2274475;352.2957458;10.91141129;16.39694786;8.1154715;295.1473248;27387
ACC0013;D;Post;g;375.9528809;300.6523132;18.32741928;18.94192696;22.64210897;240.9045671;27387
ACC0013;D;Post;g;311.9251709;281.8287659;22.12447166;22.92973709;53.41834631;248.9444362;27387
ACC0013;D;Post;g;264.8482971;265.7432556;9.607627869;13.08255386;11.36369699;263.9329479;27387
ACC0013;D;Post;g;321.6351929;252.642746;11.13834953;17.50514793;27.64274597;219.0304997;27387
ACC0013;D;Post;g;366.0325012;256.7350464;27.61289787;35.53707123;31.73504639;202.3434991;27387
ACC0013;D;Post;g;344.9554138;231.3175812;6.189260006;12.26195812;6.317581177;188.6494103;27387
ACC0013;D;Post;g;299.0308533;234.3930359;6.883067131;11.55272102;9.393035889;217.8432641;27387
ACC0013;D;Post;g;276.0362244;402.958252;22.11563873;37.76404572;13.94676125;372.5967352;27387
ACC0013;D;Post;g;317.2270203;402.5985718;19.97767067;32.34196854;19.28204705;356.0358877;27387
ACC0013;D;Post;g;254.8272247;364.9559631;20.69259453;38.12376022;18.81450145;349.6606143;27387
ACC0013;D;Post;g;349.2694092;357.4602966;10.62873077;16.16646957;8.900877283;302.9551794;27387
ACC0013;D;Post;g;376.7926025;327.1749268;12.33177853;14.88201809;9.520646242;266.3597172;27387
ACC0013;D;Post;g;252.5777435;318.7523499;16.20418167;29.59010315;21.45455475;312.7919041;27387
ACC0013;D;Post;g;270.6477966;276.7635498;6.474054813;12.2130003;22.9268104;268.5702367;27387
ACC0013;V;Ant;g;283.8418884;217.8971405;23.2665844;27.49833107;18.37626705;;26333
ACC0013;V;Ant;g;343.9634094;203.3510895;17.4203186;32.71766281;9.704431683;;26333
ACC0013;V;Ant;g;378.7828369;193.7151947;18.17858887;27.34267807;13.2848053;;26333
ACC0013;V;Ant;g;257.7749023;190.2184906;20.85113525;22.73432541;25.84928664;;26333
ACC0013;V;Ant;g;309.2720032;186.103775;18.68087006;21.7429924;37.49939219;;26333
ACC0013;V;Ant;g;284.5244141;163.7642975;19.44725037;26.47473335;62.29137543;;26333
ACC0013;V;Ant;g;239.5174561;160.7921448;16.56964874;22.99316788;26.7107808;;26333
ACC0013;V;Ant;g;341.3586121;161.6567688;20.832798;36.89279938;26.97590431;;26333
ACC0013;V;Ant;g;261.0426025;137.9561768;18.39092636;30.74668694;54.1866649;;26333
ACC0013;V;Ant;g;221.1000366;131.702301;15.81565571;21.78720856;25.46531081;;26333
ACC0013;V;Ant;g;294.0120544;125.3111649;26.32483292;35.52729797;27.78866747;;26333
